UserGestureID,UserID,GestureID,GestureData,CreationDate,UpdationDate
11,9623917503,1,"592 96 119,472 171 353,533 294 540,660 354 717,678 446 929,486 455 1141,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0,-70 38 0","2023-02-26 14:37:40","2023-02-26 14:37:40"
12,9623917503,1,"632 67 326,527 115 540,511 221 787,681 290 1067,710 446 1299,447 468 1470,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0,-6 -20 0","2023-02-26 14:37:51","2023-02-26 14:37:51"
13,9623917503,1,"616 101 318,514 130 547,474 203 828,634 263 1214,669 400 1478,521 459 1712,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0,-34 33 0","2023-02-26 14:38:00","2023-02-26 14:38:00"
14,9623917503,1,"623 80 268,511 110 551,532 203 824,683 239 1101,682 408 1369,450 463 1551,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0,28 6 0","2023-02-26 14:38:11","2023-02-26 14:38:11"
15,9623917503,1,"547 103 414,482 221 785,619 267 1069,677 403 1344,499 468 1566,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0,-42 15 0","2023-02-26 14:38:19","2023-02-26 14:38:19"
16,9623917503,1,"571 133 297,499 225 708,649 344 1127,548 434 1460,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0,-18 27 0","2023-02-26 14:38:27","2023-02-26 14:38:27"
17,9623917503,1,"581 118 221,491 185 560,661 286 990,550 438 1405,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0,-46 45 0","2023-02-26 14:38:36","2023-02-26 14:38:36"
18,9623917503,1,"590 88 222,500 170 682,668 301 1131,542 459 1471,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0,-72 -19 0","2023-02-26 14:38:59","2023-02-26 14:38:59"
19,9623917503,1,"597 137 473,552 243 926,675 338 1463,540 429 1852,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0,30 35 0","2023-02-26 14:39:07","2023-02-26 14:39:07"
20,9623917503,1,"544 121 521,480 223 1049,608 275 1481,667 401 1883,530 432 2337,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0,-65 8 0","2023-02-26 14:39:17","2023-02-26 14:39:17"
21,9623917503,1,"541 109 598,504 227 1247,673 367 1813,501 447 2248,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0,-63 20 0","2023-02-26 14:39:28","2023-02-26 14:39:28"
22,9623917503,1,"528 91 381,507 254 965,684 407 1480,514 468 1869,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0,-21 -1 0","2023-02-26 14:39:40","2023-02-26 14:39:40"
23,9623917503,1,"519 128 739,553 244 1411,670 372 1933,527 452 2364,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0,-60 25 0","2023-02-26 14:39:50","2023-02-26 14:39:50"
24,9623917503,1,"522 178 644,519 426 1892,678 327 1376,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0,26 27 0","2023-02-26 14:40:20","2023-02-26 14:40:20"
25,9623917503,1,"556 122 429,553 246 1069,603 421 1778,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0,-37 43 0","2023-02-26 14:40:29","2023-02-26 14:40:29"
26,9623917503,1,"550 138 515,515 381 1643,677 361 1426,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0,-3 43 0","2023-02-26 14:40:38","2023-02-26 14:40:38"
27,9623917503,1,"521 182 588,665 345 1307,512 429 1753,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0,-75 32 0","2023-02-26 14:40:48","2023-02-26 14:40:48"
28,9623917503,1,"553 184 640,601 394 1391,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0,-73 42 0","2023-02-26 14:40:57","2023-02-26 14:40:57"
29,9623917503,1,"549 177 565,603 391 1453,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0,-49 46 0","2023-02-26 14:41:06","2023-02-26 14:41:06"
